ID,HospitalName,Category,TotalBeds,TotalICUBeds,TotalVentilators,AllocationPercentage,AllocatedBeds,AllocatedICUBeds,AllocatedVentilators,OccupiedConfirmed,OccupiedSuspect,OccupiedICUBeds,OccupiedVentilators,Created,Modified,IsActive,Type,Address,Rate,ContactNumber,Latitude,Longitude,ModifiedDate
345,Satyam medicare,Private,100,50,20,25,0,0,0,0,0,0,0,2020-08-25T18:10:08.677,2020-08-25T18:10:08.677,1,,,,,,,2020-08-25T18:10:08.677Z
2117,Modern Diagnostic & Research Centre,Private,0,0,0,0,0,0,0,0,0,0,0,2020-09-06T08:20:15.027,2020-09-06T08:20:15.027,1,Labs,"363-364/4, Jawahar Nagar, Gurgaon",RS. 1600(inclusive of GST/taxes),,28.4650964413576,77.0282189249619,2020-09-06T08:20:15.027Z
10041,CORE Diagnostics Pvt. Ltd,Private,0,0,0,0,0,0,0,0,0,0,0,2020-09-06T08:20:17.963,2020-09-06T08:20:17.963,1,Labs,"Phase III, Udyog Vihar III, Gurugram",RS. 1600(inclusive of GST/taxes),,28.5097535450723,77.091504797482,2020-09-06T08:20:17.963Z
8243,Pathkind Diagnostics Pvt. Ltd,Private,0,0,0,0,0,0,0,0,0,0,0,2020-09-06T08:20:20.653,2020-09-06T08:20:20.653,1,Labs,"Plot No. 55, 56, Phase IV, Udyog Vihar, Sector 18, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4931605513101,77.0826523686454,2020-09-06T08:20:20.653Z
7731,SRL Limited,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.63,2020-11-23T11:34:28.63,1,Labs,"GP26, Sector 18, Gurugram",RS. 1600(inclusive of GST/taxes),,28.5064185248397,77.061809047626,2020-11-23T11:34:28.063Z
3058,"Department of Pathlogy and Laboratory Medicine, Medanta-The Medicity",Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.64,2020-11-23T11:34:28.64,1,Labs,"Sector 38, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4397952046313,77.0407691565215,2020-11-23T11:34:28.064Z
11172,SGT Medical College,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.65,2020-11-23T11:34:28.65,1,Labs,"Hospital and Research Institute, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4786174557596,76.9027028007033,2020-11-23T11:34:28.065Z
6258,"Laboratory Services, Artemis Hospital",Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.65,2020-11-23T11:34:28.65,1,Labs,"Sector-51, Gurgaon",RS. 1600(inclusive of GST/taxes),,28.4318432823759,77.0724247602275,2020-11-23T11:34:28.065Z
7341,Paras Hospitals,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.66,2020-11-23T11:34:28.66,1,Labs,Gurugram,RS. 1600(inclusive of GST/taxes),,28.4513296093494,77.0876164823104,2020-11-23T11:34:28.066Z
1647,Oncquest Lab Ltd.,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.623,2020-11-23T11:34:28.623,1,Labs,"A-17, Sector 34, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4373435098147,77.0164876689232,2020-11-23T11:34:28.623Z
